outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
605026.4336796197,5805613.281472417,4.870606417,605018.4520178775,5805616.310213996,4.592997832,8.538695567000001,605024.3469896568,5805614.073308767,4.798029702,0.261435411
605026.0691785668,5805612.353128451,4.848862826,605018.0919755184,5805615.368012365,4.587858758,8.529616286,605023.9915295773,5805613.1383607825,4.780884728,0.260448425
605025.7158012313,5805611.42115019,4.827748046,605017.7328994375,5805614.426842971,4.583112256000001,8.531704694,605023.6378049038,5805612.203570099,4.7640678869999995,0.260305981
605025.3745798449,5805610.484571348,4.807549343,605017.372857073,5805613.484641343,4.5788828089999996,8.547348653,605023.2854422138,5805611.267824017,4.747847695,0.26108607699999997
605025.0343906871,5805609.547026228,4.7868480710000005,605017.0127817307,5805612.543438975,4.574282339,8.564694974,605022.934481577,5805610.331423968,4.731202301000001,0.261781469
605024.6931692953,5805608.6104473965,4.7667911069999995,605016.6537386172,5805611.6012703255,4.569725686,8.579444562,605022.5850729827,5805609.394674994,4.71511677,0.262219198
605024.3519479008,5805607.673868557,4.747109975,605016.2936632695,5805610.6600679625,4.566021828,8.595513364,605022.237156475,5805608.457575121,4.699585675,0.262437384
605024.0107265037,5805606.737289723,4.7283849369999995,605015.9336208939,5805609.717866345,4.561862206,8.611218961,605021.8905886605,5805607.519619456,4.684674848999999,0.262487217
605023.6705373351,5805605.79974461,4.7108484719999995,605015.5897314925,5805608.771196049,4.557989664,8.611536971,605021.5454362899,5805606.58121032,4.6706494119999995,0.262981637
605023.3293159325,5805604.863165783,4.693430638,605015.2468743194,5805607.823559475,4.5544344269999995,8.609262454,605021.201746028,5805605.642449303,4.656842257,0.263232939
605022.9880945273,5805603.926586956,4.676089201,605014.9040501189,5805606.874923641,4.551310637,8.606628375,605020.8593511992,5805604.70293076,4.643231702,0.263326472
605022.6468731192,5805602.990008129,4.658687228,605014.5611929403,5805605.92728707,4.5482880869999995,8.604382895,605020.5184018917,5805603.763259853,4.629625788999999,0.263239716
605022.3066839399,5805602.052463023,4.642903735,605014.217336503,5805604.979617525,4.545920753,8.604379641,605020.1786180139,5805602.822527027,4.617390438,0.26306983100000003
605021.9654625264,5805601.115884203,4.627161599,605013.8744793186,5805604.03198096,4.543596231,8.602161822000001,605019.8403130326,5805601.881843004,4.605212656,0.26265597
605021.6242411104,5805600.179305382,4.61256564,605013.5316221319,5805603.084344393,4.542375048999999,8.599957965,605019.5033135768,5805600.940701894,4.59416997,0.26208171
605021.2830196916,5805599.2427265635,4.5985142230000005,605013.1887649425,5805602.136707827,4.541126756000001,8.597768082,605019.1675796763,5805599.9991023755,4.5835160010000005,0.261350135
605020.9428305014,5805598.305181463,4.584294573,605012.8459077502,5805601.189071265,4.53985673,8.59688903,605018.8329746324,5805599.056639804,4.572715195,0.260574706
605020.6016090773,5805597.368602648,4.570444347,605012.5030505551,5805600.2414347045,4.53967547,8.594726406,605018.4997885298,5805598.114224055,4.562458914,0.259529545
605020.2603876503,5805596.432023839,4.557474424,605012.1601933572,5805599.293798149,4.540316509,8.592577786,605018.1677980345,5805597.171347596,4.553041882,0.25833801100000003
605019.9232291961,5805595.493578414,4.54557817,605011.8173361567,5805598.346161586,4.54141069,8.594896276,605017.8368098902,5805596.227803965,4.544505481,0.257395048
605019.6103496666,5805594.546931089,4.534159617,605011.4744789533,5805597.398525037,4.54286508,8.622858111000001,605017.5069641928,5805595.28419801,4.536410261,0.258532363
605019.2975031093,5805593.59928451,4.522676887,605011.1316217472,5805596.450888481,4.544958169,8.651194195,605017.177844252,5805594.3395156255,4.528460559,0.259575379
